web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752762522-109","https://sn.coinafrique.com/categorie/autres-animaux?page=5","20 000CFA","Dinde","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/dinde-2351112"
"1752762522-110","https://sn.coinafrique.com/categorie/autres-animaux?page=5","90 000CFA","Kittens / chatons","Yoff, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/kittens-chatons-2319268"
"1752762522-111","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Perruches","Point E, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/perruches-2296024"
"1752762522-112","https://sn.coinafrique.com/categorie/autres-animaux?page=5","130 000CFA","Oies","Medina, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/oies-2281845"
"1752762522-113","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Vache","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/vache-2276153"
"1752762522-114","https://sn.coinafrique.com/categorie/autres-animaux?page=5","1 000CFA","Oies","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/oies-2275120"
"1752762522-115","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Taureau Nélore","Guediawaye, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/taureau-nelore-2251055"
"1752762522-116","https://sn.coinafrique.com/categorie/autres-animaux?page=5","150 000CFA","Chaton york chocolat","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/chaton-york-chocolat-2240976"
"1752762522-117","https://sn.coinafrique.com/categorie/autres-animaux?page=5","600 000CFA","Boeufs","Bambey, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/boeufs-2239779"
"1752762522-118","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Poussins brahman et cochin","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/poussins-brahman-et-cochin-2230369"
"1752762522-119","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Boeufs","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/boeufs-2161624"
"1752762522-120","https://sn.coinafrique.com/categorie/autres-animaux?page=5","750 000CFA","Bœuf élevage","Guediawaye, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/buf-elevage-2147334"
"1752762522-121","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Boeuf","Fann, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-2101700"
"1752762522-122","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Boeuf","Sicap Liberté, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-2088141"
"1752762522-123","https://sn.coinafrique.com/categorie/autres-animaux?page=5","650 000CFA","Chèvre Race Boer","Patte d'oie, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/chevre-race-boer-2061898"
"1752762522-124","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chaton persan blanc","Fann, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-blanc-2052355"
"1752762522-125","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chaton persan chinchilla","Fann, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-chinchilla-2025374"
"1752762522-126","https://sn.coinafrique.com/categorie/autres-animaux?page=5","475CFA","Boeuf","Dakar Plateau, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1998573"
